driverId,sum-hours-logged,sum-miles-logged
10,3232,147150
11,3642,179300
12,2639,135962
13,2727,134126
14,2781,136624
15,2734,138750
16,2746,137205
17,2701,135992
18,2654,137834
19,2738,137968
20,2644,134564
21,2751,138719
22,2733,137550
23,2750,137980
24,2647,134461
25,2723,139180
26,2730,137530
27,2771,137922
28,2723,137469
29,2760,138255
30,2773,137473
31,2704,137057
32,2736,137422
33,2759,139285
34,2811,137728
35,2728,138727
36,2795,138025
37,2694,137223
38,2760,137464
39,2745,138788
40,2700,136931
41,2723,138407
42,2697,136673
43,2750,136993
